school_id,ipgroup_name,ipgroup_id,nfa_uuid,date,daily_95th_percentile_mbps,direction,data_points_daily
1375,院校025_B站_V6,2500055,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,3.7349999745686846,both,288
1486,院校137_B站_V4,2500276,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,3.554166539510091,both,288
1476,院校127_B站_V6,2500257,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,3.532708231608073,both,288
1413,院校063_B站_V6,2500131,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,3.3125,both,288
1484,院校135_B站_V4,2500272,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,3.2691665649414063,both,288
1461,院校111_B站_V4,2500226,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,3.2224998474121094,both,288
1452,院校102_B站_V4,2500208,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,3.2024998982747395,both,288
1491,院校143_B站_V6,2500288,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,2.839166514078776,both,288
1437,院校087_B站_V6,2500179,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,2.70749994913737,both,288
1388,院校038_B站_V6,2500081,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,2.5,both,288
1507,院校160_B站_V4,2500320,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,2.272083282470703,both,288
1352,院校001_B站_V6,2500010,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,2.1733332316080727,both,288
1418,院校068_B站_V4,2500140,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.9266666412353515,both,288
1473,院校123_B站_V6,2500251,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.925,both,288
1447,院校097_B站_V4,2500198,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.897499974568685,both,288
1492,院校144_B站_V4,2500289,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.897499974568685,both,288
1462,院校112_B站_V6,2500229,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.8875,both,288
1411,院校061_B站_V6,2500127,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.8875,both,288
1394,院校044_B站_V6,2500093,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.875,both,288
1418,院校068_B站_V6,2500141,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.875,both,288
1360,院校012_B站_V4,2500028,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.6104166666666666,both,288
1457,院校107_B站_V4,2500218,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.58125,both,288
1490,院校142_B站_V4,2500285,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.58125,both,288
1505,院校158_B站_V6,2500317,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.5774998982747397,both,288
1488,院校139_B站_V6,2500281,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.5625,both,288
1355,院校004_B站_V6,2500016,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.5125,both,288
1386,院校036_B站_V6,2500077,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.3264582316080729,both,288
1456,院校106_B站_V4,2500216,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.279583231608073,both,288
1494,院校146_B站_V6,2500294,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.2649998982747397,both,288
1433,院校083_B站_V4,2500170,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.256874974568685,both,288
1514,院校140_B站_V6,2500282,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.25,both,288
1376,院校026_B站_V4,2500056,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.155416488647461,both,288
1490,院校142_B站_V6,2500286,1367954f-eec8-3e90-adbe-4d2c3017068f,2025-09-09,1.0125,both,288
